"Classe","Sexo","Idade","num_irmaos_conjugues","num_pais_criancas","num_bilhete","tarifa","cabine","porto_embarcacao","num_bote_salva_vidas","sobreviveu"
"First","Female",29,0,0,"24160",211.3375,"B5","Southampton","2","Yes"
"First","Male",0.9167,1,2,"113781",151.55,"C22 C26","Southampton","11","Yes"
"First","Female",2,1,2,"113781",151.55,"C22 C26","Southampton",,"No"
"First","Male",30,1,2,"113781",151.55,"C22 C26","Southampton",,"No"
"First","Female",25,1,2,"113781",151.55,"C22 C26","Southampton",,"No"
"First","Male",48,0,0,"19952",26.55,"E12","Southampton","3","Yes"
"First","Female",63,1,0,"13502",77.9583,"D7","Southampton","10","Yes"
"First","Male",39,0,0,"112050",0,"A36","Southampton",,"No"
"First","Female",53,2,0,"11769",51.4792,"C101","Southampton","D","Yes"
"First","Male",71,0,0,"PC 17609",49.5042,,"Cherbourg",,"No"
"First","Male",47,1,0,"PC 17757",227525,"C62 C64","Cherbourg",,"No"
"First","Female",18,1,0,"PC 17757",227525,"C62 C64","Cherbourg","4","Yes"
"First","Female",24,0,0,"PC 17477",69.3,"B35","Cherbourg","9","Yes"
"First","Female",26,0,0,"19877",78.85,,"Southampton","6","Yes"
"First","Male",80,0,0,"27042",30,"A23","Southampton","B","Yes"
"First","Male",,0,0,"PC 17318",25925,,"Southampton",,"No"
"First","Male",24,0,1,"PC 17558",247.5208,"B58 B60","Cherbourg",,"No"
"First","Female",50,0,1,"PC 17558",247.5208,"B58 B60","Cherbourg","6","Yes"
"First","Female",32,0,0,"11813",76.2917,"D15","Cherbourg","8","Yes"
"First","Male",36,0,0,"13050",75.2417,"C6","Cherbourg","A","No"
"First","Male",37,1,1,"11751",52.5542,"D35","Southampton","5","Yes"
"First","Female",47,1,1,"11751",52.5542,"D35","Southampton","5","Yes"
"First","Male",26,0,0,"111369",30,"C148","Cherbourg","5","Yes"
"First","Female",42,0,0,"PC 17757",227525,,"Cherbourg","4","Yes"
"First","Female",29,0,0,"PC 17483",221.7792,"C97","Southampton","8","Yes"
"First","Male",25,0,0,"13905",26,,"Cherbourg",,"No"
"First","Male",25,1,0,"11967",91.0792,"B49","Cherbourg","7","Yes"
"First","Female",19,1,0,"11967",91.0792,"B49","Cherbourg","7","Yes"
"First","Female",35,0,0,"PC 17760",135.6333,"C99","Southampton","8","Yes"
"First","Male",28,0,0,"110564",26.55,"C52","Southampton","D","Yes"
"First","Male",45,0,0,"113784",35.5,"T","Southampton",,"No"
"First","Male",40,0,0,"112277",31,"A31","Cherbourg","7","Yes"
"First","Female",30,0,0,"36928",164.8667,"C7","Southampton","8","Yes"
"First","Female",58,0,0,"113783",26.55,"C103","Southampton","8","Yes"
"First","Male",42,0,0,"110489",26.55,"D22","Southampton",,"No"
"First","Female",45,0,0,"PC 17608",262375,,"Cherbourg","4","Yes"
"First","Female",22,0,1,"113505",55,"E33","Southampton","6","Yes"
"First","Male",,0,0,"111427",26.55,,"Southampton","9","Yes"
"First","Male",41,0,0,"113054",30.5,"A21","Southampton",,"No"
"First","Male",48,0,0,"PC 17591",50.4958,"B10","Cherbourg",,"No"
"First","Male",,0,0,"112379",39.6,,"Cherbourg",,"No"
"First","Female",44,0,0,"PC 17610",27.7208,"B4","Cherbourg","6","Yes"
"First","Female",59,2,0,"11769",51.4792,"C101","Southampton","D","Yes"
"First","Female",60,0,0,"11813",76.2917,"D15","Cherbourg","8","Yes"
"First","Female",41,0,0,"16966",134.5,"E40","Cherbourg","3","Yes"
"First","Male",45,0,0,"113050",26.55,"B38","Southampton",,"No"
"First","Male",,0,0,"113798",31,,"Southampton",,"No"
"First","Male",42,0,0,"PC 17476",26.2875,"E24","Southampton","5","Yes"
"First","Female",53,0,0,"PC 17606",27.4458,,"Cherbourg","6","Yes"
"First","Male",36,0,1,"PC 17755",512.3292,"B51 B53 B55","Cherbourg","3","Yes"
"First","Female",58,0,1,"PC 17755",512.3292,"B51 B53 B55","Cherbourg","3","Yes"
"First","Male",33,0,0,"695",5,"B51 B53 B55","Southampton",,"No"
"First","Male",28,0,0,"113059",47.1,,"Southampton",,"No"
"First","Male",17,0,0,"113059",47.1,,"Southampton",,"No"
"First","Male",11,1,2,"113760",120,"B96 B98","Southampton","4","Yes"
"First","Female",14,1,2,"113760",120,"B96 B98","Southampton","4","Yes"
"First","Male",36,1,2,"113760",120,"B96 B98","Southampton","C","Yes"
"First","Female",36,1,2,"113760",120,"B96 B98","Southampton","4","Yes"
"First","Male",49,0,0,"19924",26,,"Southampton",,"No"
"First","Female",,0,0,"17770",27.7208,,"Cherbourg","5","Yes"
"First","Male",36,1,0,"19877",78.85,"C46","Southampton",,"No"
"First","Female",76,1,0,"19877",78.85,"C46","Southampton","6","Yes"
"First","Male",46,1,0,"W.E.P. 5734",61175,"E31","Southampton",,"No"
